epoch,train_loss,val_auc,seconds
0,149.42164716032872,0.8804222222222222,67.9
1,12.728273422775976,0.8742611111111112,63.3
2,4.011759500104744,0.8468111111111111,63.7
3,4.32316157339918,0.9112222222222223,65.5
4,1.8450384543433411,0.7372555555555556,64.2
5,1.5123550804061119,0.9500888888888889,63.6
6,0.6981364505328459,0.9477555555555556,63.7
7,0.5350797806731807,0.9913666666666666,64.7
8,0.3697405780096935,0.9870555555555556,64.0
9,0.5832781314681835,0.9602555555555555,64.1
10,0.9751369675018726,0.9987,66.0
11,0.4407971324857711,0.9840444444444445,65.7
12,0.6422855011498347,0.9971333333333333,64.8
13,0.42342161917987153,0.9998222222222222,65.2
14,0.33933193665999967,0.9842666666666666,68.6
15,0.2165575572314068,0.9945444444444445,66.1
16,0.4167961354718329,0.9993222222222222,66.3
17,0.4155637572931114,0.9603888888888888,65.8
18,0.4976803082529843,0.9865555555555555,65.0
19,3.056973247639952,0.9908055555555556,99.2
20,0.5737933244130025,0.9880944444444445,94.7
21,0.3633302710450095,0.9989666666666667,93.1
22,0.09324091250655588,0.9910055555555556,91.7
23,0.3639890647772281,0.9977444444444444,95.1
24,1.1479623279244602,0.9985777777777778,95.6
25,0.41308281653537837,0.9988277777777778,95.3
26,0.08223127100101252,0.9972333333333333,95.5
27,0.03569206015113633,0.9983,94.8
28,0.08247951148663679,0.9974055555555555,86.2
