epoch,train_loss,val_auc,seconds
0,0.6942180421352386,0.4730388888888889,59.6
1,0.6934590167999267,0.5647,56.1
2,0.6934238708019257,0.5241055555555556,55.8
2,0.6936169912815094,0.2065,65.2
3,0.6934276325702667,0.6206611111111111,57.7
3,0.6934011142253875,0.5,62.6
4,0.693404224395752,0.5,58.8
4,0.6933165216445922,0.5,62.4
5,0.6932914204597473,0.5,59.6
5,0.6932784204483032,0.5,62.4
6,0.6933072712421418,0.5,60.5
6,0.6932954490184784,0.5,62.3
7,0.6932925295829773,0.5,61.6
7,0.6932906718254089,0.5,62.3
8,0.6932855944633484,0.5,61.8
8,0.6932859978675843,0.5,62.3
9,0.6932918272018432,0.5,62.5
9,0.6932923946380615,0.5,62.4
10,0.6933395407199859,0.5,62.6
10,0.6933401618003845,0.5,62.4
11,0.6933332123756408,0.5,62.2
11,0.6933338420391083,0.5,62.4
12,0.6933109135627746,0.5,62.4
12,0.6933114864826202,0.5,62.3
13,0.6932758824825287,0.5,61.9
13,0.6932763957977295,0.5,62.2
14,0.6932840745449066,0.5,62.5
14,0.6932846431732178,0.5,62.3
15,0.6933279416561127,0.5,62.3
15,0.693328693151474,0.5,62.4
16,0.6932741494178772,0.5,61.8
16,0.6932746567726136,0.5,62.4
17,0.6932935914993286,0.5,61.6
18,0.6933080742359161,0.5,62.3
