epoch,train_loss,val_auc,seconds
0,0.6939917527735233,0.4458111111111111,262.0
1,0.6939809085130692,0.5713555555555555,259.4
2,0.694231636762619,0.6371166666666667,261.3
3,0.6934994317889214,0.8850166666666667,261.4
4,0.6951903173923493,0.5429833333333334,262.2
5,0.693403923034668,0.5,289.1
6,0.6936621948480606,0.5,287.0
7,0.6931860380768776,0.505,290.4
8,0.6452087804647018,0.8009222222222222,288.8
9,0.4658779291065057,0.8209777777777778,304.4
10,0.43703867527997214,0.8931111111111111,282.3
11,0.43689470841277467,0.8948777777777778,281.4
12,0.44397048686160817,0.8942333333333333,285.4
13,0.4131053456271393,0.8948444444444444,311.7
14,0.42083223415796717,0.9069222222222222,284.3
15,0.4153376123987974,0.8983888888888889,276.5
16,0.38200740822236595,0.9075,279.6
17,0.40528814957580456,0.9053111111111111,279.1
18,0.4111898505143531,0.9065,267.8
19,0.38698287571899276,0.9089444444444444,267.7
20,0.36486511155121626,0.9202222222222223,276.8
21,0.3512047489262825,0.9135555555555556,282.8
22,0.3491367144342921,0.9206222222222222,277.0
23,0.36145163478371306,0.9170888888888888,366.7
24,0.3402989732365452,0.8358,280.6
25,0.33816273828090915,0.9454444444444444,280.8
26,0.42436594016767853,0.8731777777777778,278.1
27,0.4136790899480258,0.9180111111111111,269.5
28,0.3895127612808922,0.9117111111111111,274.2
29,0.3907553445340891,0.9263222222222223,280.6
30,0.37205373135140135,0.9408222222222222,275.8
31,0.3617070067931527,0.9466777777777777,273.2
32,0.32885427840784687,0.9502444444444444,283.7
33,0.3495557578915416,0.9409555555555555,278.8
34,0.35193435249422983,0.9645333333333334,284.2
35,0.35526825498012454,0.8274333333333334,278.0
36,0.34869706328362177,0.9682111111111111,280.8
37,0.3115066035441023,0.9568111111111111,367.5
38,0.34201327542884974,0.9565888888888889,281.1
39,0.3160890671438656,0.9664222222222222,279.1
40,0.34651767247203186,0.9634666666666667,279.4
41,0.31725961420455134,0.9553222222222222,279.7
42,0.3229916163093885,0.9638666666666666,278.2
43,0.32544821640713545,0.9585888888888889,279.3
44,0.32897542506343325,0.9100111111111111,277.8
45,0.3156825386370942,0.9513333333333334,274.2
46,0.3040601118350569,0.9669888888888889,288.7
47,0.32721987113898615,0.9696888888888889,277.6
48,0.29866510820178066,0.9766666666666667,272.0
49,0.32287435403352277,0.9729222222222222,273.4
50,0.3845190144726524,0.9105888888888889,272.7
51,0.43415925568621144,0.8469777777777778,276.6
52,0.4254697571480665,0.9201222222222222,276.0
53,0.36511132088874865,0.8794777777777778,279.1
54,0.3442553925041412,0.9544444444444444,278.1
55,0.3611283204625918,0.9593222222222222,277.0
56,0.3433516200530721,0.9622333333333334,357.7
57,0.3101865136022868,0.9154111111111111,363.1
58,0.3177935395539207,0.9752888888888889,364.6
59,0.2957208261736373,0.9344555555555556,271.9
60,0.32213932952413593,0.9270888888888889,323.2
61,0.2822866031689273,0.9651,356.6
62,0.29135773451093516,0.8884777777777778,277.1
63,0.29342342783726905,0.9628111111111111,278.1
64,0.2788943034704565,0.9574555555555555,274.6
65,0.25619804136259583,0.9841,268.0
66,0.2595028953519938,0.9767333333333333,273.8
67,0.2961792525939341,0.9637888888888889,273.8
68,0.27665720186380666,0.9868666666666667,278.8
69,0.28499779434950506,0.9807,342.0
70,0.2667330255258098,0.9717111111111111,364.4
71,0.26505084059728506,0.9598777777777778,274.0
72,0.2850596734278829,0.8774333333333333,275.4
73,0.2681000849884357,0.9888555555555556,273.4
74,0.26589502716025254,0.9755,274.3
75,0.2579254417362398,0.9919111111111111,275.6
76,0.2808145870720988,0.9435777777777777,275.2
77,0.27873246048518885,0.9769222222222222,276.3
78,0.30674045151774637,0.9764666666666667,304.0
79,0.2796343798674925,0.9883222222222222,276.8
80,0.2665105366593646,0.9869666666666667,275.4
81,0.2658465352080001,0.9730333333333333,274.3
82,0.2411975895606259,0.9448222222222222,274.4
83,0.24256920678986535,0.9876111111111111,282.4
84,0.26689784378152004,0.9690666666666666,274.2
85,0.2594066521887423,0.8759,273.8
86,0.24566272718285062,0.9447555555555556,275.8
87,0.2815453797492537,0.9775555555555555,271.0
