epoch,train_loss,val_auc,seconds
0,0.6967275039553642,0.4006,527.9
1,0.6937827978730202,0.4222,527.0
2,0.6937002073526383,0.4164,516.9
3,0.6935454179644585,0.5,520.5
4,0.6935109637379646,0.5,517.2
5,0.6935969916582108,0.5,510.7
6,0.6935643131136894,0.5,530.9
7,0.6935158103704453,0.5,527.9
8,0.6936251040697098,0.5,522.2
9,0.6935839815735817,0.5,534.7
10,0.6933646089434624,0.5,528.5
11,0.6934447911381721,0.5,523.5
12,0.6937826057076454,0.5,523.2
13,0.6935686898231507,0.5,519.5
14,0.6937057272791862,0.5,520.6
15,0.6935299153327942,0.5,523.8
16,0.6936678668260574,0.5,520.5
17,0.6935857241749763,0.5,520.6
18,0.6935522544384003,0.5,533.1
19,0.6936074103116989,0.5,525.9
20,0.693669881761074,0.5,520.9
21,0.6936055509448051,0.5,527.6
22,0.693645563185215,0.5,526.3
23,0.6935493850708008,0.5,525.8
