epoch,train_loss,val_auc,seconds
0,0.6953436025381088,0.4121888888888889,172.5
1,0.6940215676426887,0.5918055555555556,170.0
2,0.6936084157824516,0.6486944444444445,169.3
3,0.5322894766267054,0.9183777777777777,172.1
4,0.44626603577796914,0.9151333333333334,170.6
5,0.3709415018363061,0.9371333333333334,171.5
6,0.34960696446758605,0.9379888888888889,171.9
7,0.319996640823729,0.9378222222222222,182.6
8,0.30159318080129743,0.9329555555555555,174.3
9,0.31995818408403104,0.9087222222222222,171.6
10,0.27037628830297583,0.9321222222222222,170.8
11,0.3128568538966829,0.9469777777777778,172.9
12,0.27813044159063793,0.9231444444444444,174.8
13,0.2925660999312968,0.9681555555555555,172.6
14,0.34491451023445163,0.9721888888888889,179.1
15,0.27397278535434527,0.9144333333333333,184.1
16,0.26977550106373144,0.9827222222222223,184.7
17,0.2660064981305652,0.9514222222222222,179.7
18,0.25648516079839817,0.9813888888888889,175.1
19,0.2948705487610075,0.9340222222222222,181.9
20,0.3085820115363409,0.9348333333333333,179.8
21,0.2944572654699108,0.9748444444444444,171.9
22,0.2883195963041011,0.9673555555555555,172.8
23,0.28835983837766294,0.9330555555555555,170.6
24,0.2814037430728389,0.9712611111111111,173.3
25,0.2859358344372028,0.9746222222222222,170.6
26,0.282287665716732,0.9703777777777778,167.6
27,0.2530412142171207,0.9731333333333333,168.9
28,0.26790345987783315,0.9711111111111111,177.1
29,0.26222686273400103,0.9667555555555556,171.5
30,0.2663611302828083,0.9726777777777778,174.3
31,0.24270996482266985,0.9827,175.9
